Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
3.4042268558295166,31,36,3.5096225463329183,3
2.8104382318142744,62,173,2.722144828634864,3
3.9059292517696926,48,67,3.8243456188742475,1
4.165277706737355,57,60,4.045327747557726,2
2.1074689302554095,48,86,2.0474028935210287,0
3.9224914167267206,38,49,3.922655168497821,0
3.3527399161661577,61,137,3.3594949842504476,2
3.6668902124511424,49,51,3.7497497096688326,1
2.0617019349302796,59,132,2.0875396535844915,1
1.9962596740916165,44,44,2.1010943777640088,0
2.8531615505497294,45,106,2.8221096489918125,2
3.2315371139141704,32,52,3.3100329315862638,3
3.321487978466689,39,53,3.15049794441029,0
3.785885256617607,31,110,3.862343332275369,3
4.044064857798262,33,68,3.9785805938304573,0
3.807660690859347,45,40,3.810691747610869,3
5.911014611000885,43,58,6.026880583824744,1
2.7493951970952275,55,109,2.8883552048718677,2
1.688825116663601,57,271,1.650232698856406,12
2.513529317134119,27,36,2.628073108681943,1
1.4663780525377452,37,500,0.261098553858377,468
3.2621871926472,26,54,3.33061438607074,0
1.9900992075389148,28,38,2.122950199827486,1
3.6441068249343465,42,91,3.5150361270806667,0
2.8060630416800034,47,500,3.0005113197930857,426
2.019150478544852,22,52,2.0149753733164224,0
1.9328570315127278,29,28,1.9356029934103465,2
4.0260283622525135,38,57,4.059994426706299,4
1.9928942480086944,44,242,2.0297821663818274,33
3.898256586203043,35,56,3.911321147776806,0
1.8820870912881784,39,74,1.9989386839651684,0
3.3287182306053342,44,132,3.37113016471944,10
4.257911302891282,32,42,4.196111988642416,0
3.3329994321155816,40,58,3.2531267347908743,3
2.244188577487368,33,52,2.1785397162975766,1
4.06846862774942,40,106,4.1094753580408145,0
3.4195817487889353,38,86,3.543766129689028,4
2.5012052243765193,39,90,2.321990651264266,15
2.9746885918873054,23,46,3.0384190069035952,1
2.641227852727544,53,227,2.7682143561569093,35
3.0810123620540515,38,56,3.10252546184387,2
2.7486057864376625,44,54,2.8190681025577065,0
1.8883936864988393,21,27,1.719032912723441,2
3.0273821533271565,55,174,3.0945210337435882,11
3.186715055091462,47,74,3.2137383846940506,3
2.985739785202995,52,342,2.9489204814206906,12
2.1348007399710247,58,281,2.1151114951094474,21
4.069347281855592,35,79,4.189506569263073,1
2.0122141373698232,70,110,2.033180790473958,2
2.4155320562614726,57,71,2.4965326738567426,1
1.8223499551544708,29,62,1.739333452801239,1
3.8244153954869926,39,76,3.8866911127209818,2
5.875115029459873,50,70,5.641717866478671,0
2.11370633513532,31,70,2.202198936631755,0
3.1616687331515916,34,79,3.2737060273679606,0
2.0261879927062405,61,123,2.167550048724781,0
3.05004825231967,27,54,2.997763881503554,0
2.15420984976273,23,37,2.1326224976458286,3
1.8120379590583253,17,63,1.9281612572275135,0
2.767329119557492,35,50,2.899283556037293,1
3.417327319126865,61,174,3.4529850734794736,3
4.865886035450092,55,79,4.948473030731651,1
3.5201318276547138,40,42,3.6427012565291896,1
2.743199165084051,62,500,1.349485571729468,240
1.5403132705591713,31,41,1.469926012245752,2
3.8924245074804147,41,85,3.8924311512793035,4
4.784900739895865,38,94,4.747720174546821,1
2.0774629479383724,51,111,2.0878238385523455,2
2.365592202641412,27,38,2.2982059471029124,1
3.1862259698150392,38,46,3.273912189519595,1
3.3944037003730383,25,61,3.50394289657994,0
