Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
6.143683876143837,63,500,0.09882796138829883,17
2.9773105503743915,44,118,3.0173623242717635,3
6.453305541753634,96,500,2.4150455630773604,54
5.636487763291296,48,72,5.616023722113661,2
2.096469040487095,28,500,1.985996255366065,46
5.017613522048503,47,65,5.115203418788548,2
3.8420690340566614,55,500,2.4766925248099816,176
3.4857896001822706,47,223,3.4377440009173594,20
5.602019461826277,52,500,2.5941726722880705,46
6.5059404699034555,76,500,1.0128499154894146,43
2.4070446629976026,34,159,2.6580412224090497,19
5.2140052714975536,50,500,0.13737209649072976,1
3.5323064316785144,54,500,1.521250057431783,44
2.2791189909301677,52,99,2.40880101109985,8
3.3019849339264087,39,500,1.3277509299578092,53
4.582181825074909,57,299,4.646181401169347,13
8.826882582243979,76,500,2.4283685120036305,49
2.5164042592823503,39,275,2.519885875227292,24
4.7764149135307274,54,500,1.474216929096717,32
4.3412324675089335,54,255,4.31935779387526,26
5.595344478585666,69,500,1.208608470388517,36
3.7506108255063224,49,102,3.7436770207750216,5
2.1120422223881126,42,500,1.29953893817584,126
3.3827805917671827,46,71,3.3092735553822847,4
4.297383862057072,68,131,4.444228404142123,4
6.559986751639075,53,72,6.479664767735984,3
3.462798991638964,46,73,3.4492146578816643,6
7.172817977058473,58,500,1.6365726575616857,59
8.947371906493075,66,500,6.2260134309104505,49
2.076474277027637,24,500,1.0216706130571964,60
6.04126937256471,59,295,5.979292170962076,24
7.589190624539153,52,156,7.419842985737746,5
3.749976042489272,42,500,0.5329853064913354,57
3.963707730387586,37,77,4.036733575093034,18
3.1655900957116274,58,500,0.8206275678774794,53
3.8027530870085737,36,500,1.1890106243124485,61
1.8941505828828722,29,60,1.8475604105042924,3
4.882202244366481,59,500,1.539877522597607,20
6.698880684234601,49,192,6.562377761545185,15
5.622993361552916,63,500,1.3199220194921577,48
4.143375391296551,48,120,4.194424043841715,12
3.20471421471941,37,52,3.335089814443772,4
1.8503661695485425,34,500,1.5616330024134575,56
4.821542409420363,49,500,1.572526775064608,17
3.9519078722761036,35,91,3.990067435206911,5
5.444208287567485,66,207,5.588961810509536,8
4.3811069574659545,42,500,0.8577206898251436,41
3.199415688953558,39,148,3.4704651428936018,12
4.850787347745009,53,104,4.674585465119331,22
5.005419372328711,55,500,1.6724096599732727,37
2.580668727905697,46,389,2.4672412704339983,26
1.679754097175759,21,48,1.6109349360437517,1
5.274402259285577,56,248,5.237037118913097,20
2.9933739072770664,71,500,0.9325906293427862,33
3.845232997858667,55,157,3.865952672648028,10
7.975258192140775,76,152,7.87308141177276,17
3.3470468078048086,57,500,0.7637431356359329,55
2.1874149157085085,64,67,2.160549803581401,2
4.958818116673145,65,500,0.9212045511662484,26
3.08095487669799,24,53,2.964819423664464,1
1.2643769188646168,23,97,1.391495922814759,15
3.727782655155312,37,128,3.8335076789427687,25
4.204228958073711,53,188,4.1924679603874955,22
2.2267471189428543,30,45,2.235778767892633,2
8.252086292313098,73,500,2.306329250587943,52
2.707958718593876,37,49,2.8270668169106172,0
7.606892814356613,74,500,1.0968354461703103,14
2.089334106662083,30,500,1.2100596498105836,65
4.5999217424989265,52,500,3.4130397567452313,49
2.8390651204096358,31,56,2.917999257773597,4
5.375725302745057,53,262,5.319843012306206,22
