Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
5.052671245664606,44,58,4.901380196349477,2
2.678607732469878,21,41,2.8110788948264016,0
2.22163878695079,28,32,2.159120517877398,2
6.101209051916765,52,117,6.005799812672272,1
4.527617171412675,37,46,4.653236780765632,2
7.705467908756327,69,122,7.581976476024731,1
5.198805663345667,49,58,5.345088713508805,3
1.0946741311692645,37,77,0.9285273611597191,0
2.348472193954191,37,56,2.383987584586577,1
5.201465947790808,50,118,5.22821950949087,5
3.7486447379490384,25,194,3.995855960730737,21
3.3990069841804704,23,37,3.288289233007092,1
4.275452946635151,35,49,4.500603199171429,2
3.9954173142005445,37,64,4.185051588822474,0
3.0874949139017587,39,47,3.124058809210778,1
5.900438941315555,62,82,5.944983248684571,2
3.1314052977721034,36,78,3.0907444180611185,0
3.1489447438750022,36,62,3.1294973973531546,2
3.397040667168095,39,40,3.5172618888178233,2
2.175720191005793,38,37,2.2983408025851246,1
4.811002910477038,42,500,2.6953558470114864,59
5.633479158993423,54,64,5.35645047420327,2
2.2572589135284042,18,28,2.3132634164933825,0
2.3323622907929153,24,46,2.2333019451389067,0
3.109885220835253,25,31,2.9563746903475465,0
5.841115610506673,65,81,5.737714316895091,8
3.5273522928608854,35,55,3.3985086336672103,4
4.250080365906788,65,74,4.433109461591565,1
5.456985877271365,63,137,5.415730331399055,13
1.9697318697816766,16,24,2.0102424243304164,1
4.228182360564948,50,288,4.11971340636282,28
5.966917173732689,43,85,5.922631193619431,0
2.3289891360962045,24,144,2.380405493092194,10
1.8189406095730511,26,25,1.739308354667551,2
6.234630298886842,64,97,6.138182466878993,1
2.1812396720733873,37,53,2.2061941860472567,3
1.8215711741816139,27,88,1.8625395226125459,9
4.034991282977575,46,42,3.95607617404813,4
1.8042678819168,48,73,1.7921607177615533,4
2.259775184824681,28,38,2.391841612418761,1
2.7049151389970936,33,52,2.715900629164513,1
5.214660455511621,51,107,5.260350978569044,0
4.692368460488653,46,49,4.646836690746982,2
2.5046638639530396,34,42,2.4323013270764156,0
5.801895060520869,46,58,5.6781480128999995,0
4.092544848040977,48,52,4.01304307962572,4
3.8733609809622274,42,98,3.840684443508432,3
4.453173839749611,32,49,4.437163413518978,3
3.7784075975724365,37,138,3.8824999201311066,25
3.7584710346369965,34,49,3.7917109319392264,1
5.761859442821816,63,131,5.763292371835713,2
2.2749186010506497,35,35,2.242812972509615,4
1.9577673533374278,26,68,1.9389410406413259,5
3.1485151065373014,32,43,3.1265759992733924,6
2.779292234600555,35,35,2.6822570649712807,1
3.8372802611586483,39,57,3.9306870391656763,1
5.738881353237332,58,130,5.604966683868465,4
2.8623674661178904,36,50,2.837541751835552,2
6.329373907027168,51,153,6.33951632540695,2
3.8438215565401403,41,74,4.007846731590739,3
2.0318199032180555,34,44,2.0321137447382336,1
2.7273892405343214,39,61,2.5269898390161827,4
3.5911806779630564,28,52,3.4739129256474452,3
3.762453839137767,39,55,3.695183212946532,0
4.444321666998773,33,79,4.516038920719117,5
3.7218871618411953,30,55,3.6683820395477977,4
1.5505900754241488,29,44,1.4331769983176674,8
3.343613283013915,28,40,3.4100821746404955,0
3.121257205904101,38,58,3.1909962420962468,2
4.727615617893059,45,68,4.787748447404039,0
5.373550964784046,45,74,5.4028877326902975,5
