Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
4.241898475878976,56,74,4.439223423620353,6
3.3069522737590376,52,171,3.292928969505572,1
1.9085730361931676,35,39,1.9078063526844147,0
6.896878903296425,75,254,7.01093793373503,15
5.028437303801725,62,178,4.928166136311447,17
4.865708455539491,45,120,4.994759927740253,7
3.3944048425128197,42,76,3.1688288028359684,1
5.015232654574834,50,500,1.2725789820880278,5
3.009878061707025,40,139,2.9477017902091873,14
5.108428809858528,51,74,5.031753467912084,1
3.778042463960184,59,117,3.8090719892900404,5
4.043726499915141,43,74,4.130150003810812,1
7.565162484106037,50,83,7.589152965618962,1
5.300814858656765,61,104,5.333672114199357,2
3.1964650839575164,31,33,3.0058910425341554,3
2.1084157772763295,57,109,2.181310360908495,3
2.353377282455217,35,38,2.2164487132152773,4
4.728274924286491,46,92,4.738393160100752,2
5.452470404360837,60,75,5.467327684686759,1
5.7697635188734315,69,108,5.686982727422756,9
4.508429117873145,56,194,4.715876614248114,19
3.323979214590259,43,64,3.202278219078538,0
4.670992435907341,66,337,4.728248061897454,14
4.390228990586696,58,93,4.372965024459842,0
5.478523614879067,83,250,5.435110320100361,15
2.2239937154944203,34,66,2.1164677432404524,0
3.3354656642154605,42,61,3.340913897554246,2
2.948090013707902,37,88,2.9293480686014868,0
4.222983012982659,31,42,4.353792769047119,1
4.473348236656031,73,500,0.4222403326674257,2
4.506262362481871,44,56,4.493672952364516,3
5.583830375703738,63,182,5.545530408249827,12
6.611477452396042,71,140,6.6232838734840564,1
8.574461794639294,63,186,8.604154818383046,12
5.096233374882293,48,92,5.17843614373997,5
2.3543802364907864,48,172,2.450749262810264,6
3.333582215922347,50,55,3.277395939167272,2
4.830896641784998,71,233,4.828432883194478,9
3.46727310532838,59,67,3.3190188454853273,0
5.485244736778819,61,149,5.700937796392887,13
3.163823105844964,38,46,3.410470621292819,1
3.0635305023686277,36,58,2.94770673099967,0
2.2127433376309855,40,56,2.3298262266846583,1
6.027185033918642,57,121,5.973399735024372,5
3.7895462376829547,52,115,3.948952395167863,3
5.027534338472399,56,76,4.957733071159939,0
2.569983917802851,39,92,2.6725811566876705,4
3.2620296881682265,39,500,1.8699502521858287,74
8.331229739857912,76,91,8.264432678640562,8
8.10063055767396,55,75,8.095693237393908,1
3.5446179259434776,32,49,3.566106001399054,2
4.116614137397588,66,113,4.008593464209963,3
7.881884964779986,63,96,7.768616398375621,6
2.1421577445406474,32,133,2.110518488024438,6
1.0984701983497027,25,32,1.146441580948501,3
2.233745647976072,51,66,2.1642428455828826,3
5.313743131897932,71,102,5.243004138109429,6
3.9557375831750816,48,60,3.9304720051223576,0
7.650669863882198,54,106,7.690994197627074,3
3.035971180852446,45,133,3.02202524609538,5
1.2551999552733273,20,159,1.444672595518136,15
3.894464411105473,93,167,3.9600838235120874,9
1.9178580754552148,40,41,2.091633982528557,2
6.994583267984271,58,102,7.025940769717291,6
5.835148504290292,44,500,0.3582203572171596,75
1.0509743681477293,17,52,1.0827100284080602,2
4.187538964553764,62,79,4.202951486365815,0
5.861458908628704,49,59,5.942443154466365,1
2.688345120277855,45,55,2.769504349885038,3
2.6456619209209085,32,30,2.8330760840029456,0
1.9932713901793815,35,65,1.9410764333897774,4
