Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
6.369207691955701,49,78,6.2921471596339,1
3.1463770292773976,45,62,3.1012884440263164,4
4.4902761821988335,36,69,4.494341914542368,0
3.3112910851921185,46,120,3.3420721784041953,1
6.607454388028779,46,73,6.726373354188335,4
2.0736846494512404,19,24,2.173976026444179,1
4.603928246200061,61,137,4.5680912341670155,5
2.1707620255682083,45,88,2.3148911514807438,4
3.815210505906471,40,66,3.816595298733562,4
2.9695556260991984,41,78,3.1008161857033514,0
3.0252834983008903,40,99,3.1508702467657064,0
3.2544004975275915,30,42,3.1848217214714025,2
2.8928276406979183,33,88,2.9528882901985853,3
3.2272416005523907,23,36,3.2743125283019743,0
2.957677409627992,41,500,0.20021510001588608,2
1.7248232831860946,25,45,1.8306487836113394,0
1.5337162921259555,42,93,1.5790577547284563,6
2.989854639264461,16,42,3.0423183367365043,0
5.081228522971824,35,66,5.123706319088098,0
1.3695304581921874,31,54,1.4018000116311253,2
2.781242376291506,57,93,2.6359079985975855,1
1.6923963161207711,42,61,1.6476899450154325,1
5.595665980225517,47,72,5.4941523000372126,3
3.447346676578602,39,57,3.4813519690201344,1
5.054519014434808,51,67,5.034225094916776,1
2.456012331352705,42,63,2.5641168975532276,3
3.333802741787848,29,46,3.377159662870209,0
4.369055925974298,31,38,4.413894063643943,2
2.408208715615275,46,377,2.480822384419149,48
2.3270975957402964,37,113,2.289270797136064,11
2.799162196384693,34,43,2.741698086893447,0
2.1350999469526193,39,56,2.0579067861906193,3
2.5011852168531914,35,66,2.618048797878413,1
3.970113739871393,46,61,4.1082896351175755,1
2.579741946797915,47,74,2.74956323941067,0
2.3290716836079635,38,40,2.404389213928325,1
5.0039955959393465,51,68,4.952467236157347,0
5.501449028342794,51,99,5.677306561678141,1
2.360378349377955,41,51,2.4628688245048247,3
1.724983159275442,26,30,1.6981151181922594,1
1.6932342444145365,27,48,1.7343807521376602,3
2.9176216143706375,34,36,2.8807729154801955,3
3.9555247741281443,31,90,4.049512819821887,1
2.5348982765723216,41,167,2.5961531939652858,15
2.4920114638738604,27,33,2.4393291674459636,0
5.112314220266206,40,54,5.096203497855096,2
2.2462296452041284,29,69,2.3767444963946938,2
4.352690041847883,37,72,4.289008286504668,16
3.203003185232418,43,65,3.1286649917116356,1
2.2756662166311603,36,82,2.3775894293019473,1
2.713593346298442,46,57,2.7738210072761103,0
2.412278188566072,30,33,2.3112786271194214,3
3.790111094178089,45,65,3.7415122096493656,3
3.326869298547897,38,55,3.3735479231290912,0
2.3401336643681043,40,72,2.2886454424682423,3
1.9127918620454745,57,112,1.935923146842962,0
5.034015006365974,53,67,4.934224222667319,4
2.363293205790869,41,60,2.3621321366200227,1
2.264289807186751,47,68,2.290242999916163,1
2.907273588776729,24,50,2.8045603465714732,0
2.563631110423672,30,39,2.3875811968604967,0
1.7268902091629044,33,53,1.824970144648685,2
2.2769080674538684,30,30,2.2272734616817647,0
3.0528747041070474,36,49,2.9646049466126074,0
3.7564282568663243,28,38,3.6654160563554194,1
1.2274153627963686,33,26,1.1729654843955624,4
3.9823531064817237,49,137,3.774972366985377,7
2.5819765191548005,57,79,2.6217880498971193,2
3.017930274123313,45,69,2.9068847274644596,9
1.9827924037747058,37,126,1.8586806264419098,12
2.037447333575797,48,77,2.217971952916772,6
