Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
2.9743689890155625,41,110,3.06811937681509,1
2.9841414913075988,38,43,3.054117205736745,3
3.2828383866026756,42,46,3.2154676142841274,2
3.6164519875687557,38,206,3.654142244966149,5
3.4342590901372576,40,61,3.427234466747382,0
3.6307324947706903,55,144,3.526753601991475,5
6.908420132524719,57,72,6.8896519899871285,2
3.7752858848068587,43,115,3.6354896712475644,11
5.571800805670145,50,62,5.439419681667371,1
2.3553586542410354,27,31,2.2560392304455092,1
3.134620317748421,58,108,3.1226408719382195,5
5.190972631739128,49,149,5.1250764720722195,3
3.381789367466525,43,57,3.258965774938622,4
2.5469266370737156,29,69,2.6803274538812016,0
1.7467418043565794,13,29,1.7748358676620728,0
3.159188746335672,43,142,3.0880740999413647,0
2.5834674295910456,59,500,0.9924039897889472,0
5.101977871807856,37,52,5.008581692941528,1
2.2359270298894542,60,500,0.8778714462284276,0
2.0356180463161353,39,50,2.138011727410026,0
2.8636742692237642,29,42,3.0561550495236824,0
6.259131930548223,55,106,6.315875140324385,3
3.773431220129886,39,81,3.845838081701661,4
5.369526264093103,48,79,5.334762900236585,9
5.727973301308955,44,500,2.6360560891808698,369
2.0872021344271925,20,50,2.2363502254441117,0
2.879759076458438,52,190,3.046405008518279,0
5.848465156956348,54,122,6.063231175882329,3
4.019895454272238,29,133,4.134567674327756,6
2.3485554133799984,64,500,1.3839856247063242,20
3.3220603766347474,53,84,3.133088528891985,2
5.45037378489809,47,108,5.654531908965725,1
3.300295189263219,36,101,3.3427026426477937,0
4.265972432650255,39,114,4.273310996482502,1
4.202300133482546,37,55,4.0847515298118795,0
3.478826402894928,42,58,3.479307617585417,1
2.646146377891917,43,283,2.6235128879545626,18
5.67937980515352,38,45,5.60689853883611,1
2.290135540053388,41,71,2.2734875812079993,2
2.226311637343064,22,31,2.2780401183100483,0
2.119979335940536,35,85,2.2188494592319286,2
3.957549925865364,40,72,3.951022846570364,0
6.08886088485412,46,84,6.106281895241929,2
1.6185798772611355,19,24,1.5539610611099852,1
4.1007174215512,44,82,4.079145748288976,0
4.032462449174274,31,163,4.030128273003152,13
6.837548691420659,64,118,6.776825709281353,4
6.4832341488329694,46,131,6.58790569877071,3
3.797299134212544,41,67,3.597754866619075,1
2.9899163067540173,44,500,0.8998031929690933,69
3.8038706074156727,45,82,3.865486841930443,4
3.971375279851574,34,52,4.011156540834095,0
4.050118783245183,43,55,4.075799608348973,0
6.347941547414339,43,500,5.063028601283507,35
3.9562490750664474,49,68,3.9847852160596626,0
5.160028364140956,50,60,5.080064972212643,1
1.2500004209562605,19,41,1.2348078395602944,0
4.099261318452196,44,80,4.0607005392324655,0
3.311364277169955,32,50,3.490823873942557,1
1.433698679589996,18,22,1.594955903325123,2
3.6099158634627564,48,96,3.462245579919809,4
2.7275596346354005,35,65,2.8928102489290044,0
2.093087194461905,26,112,2.303399678479045,9
1.6295027123127517,31,68,1.6834997220075418,0
1.9484323734492022,26,500,0.6787037112698967,126
2.5152162176778052,32,79,2.5276207312965875,1
1.3533047213021356,21,17,1.179592657036351,1
3.032868131273566,45,86,2.804524015664846,0
0.9705949266291345,27,96,0.9303846920667467,4
4.158530787149804,38,43,4.0380728072775085,0
3.6040090970738317,51,71,3.5152406326538665,1
