Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
7.436397192852758,73,500,3.067481221196646,116
5.002887614571867,41,45,4.89596508462474,0
5.465698882138281,63,107,5.6204722918331065,2
5.809225063257129,42,61,5.652208981586057,0
8.356160514538242,65,86,8.145841203946121,0
5.744724108480354,49,72,5.818024560506857,0
7.213302616302366,69,112,7.185433509167915,0
6.24078469015256,62,82,6.057935631532547,0
5.108096707689998,49,500,0.6248899941743965,16
2.3962553757283205,40,214,2.3437626876858313,12
6.074632897602624,79,93,6.128630260623309,2
4.062072308652415,78,500,1.577616784293733,423
3.904573478634904,65,500,4.36871744776381,220
2.8036160020807586,30,163,3.0945162874020116,27
1.8083383670146467,52,79,1.6844501066561,2
1.298802593264981,85,500,0.0,0
6.234989141476931,64,103,6.264388005882493,1
4.863436643306847,68,127,4.694017067912123,0
3.322921021553365,99,500,0.0,0
7.543316423202718,83,123,7.684351579528293,3
2.8256613772003543,44,40,2.811131886184622,0
1.9582774408778814,29,55,2.050278261821282,2
3.1853785889528856,27,34,3.102790956085667,0
3.552223761450978,38,500,1.9356528571104974,48
6.564811799914683,65,131,6.5267506588404025,2
3.515361961590084,42,76,3.782052297922608,0
5.529874224157727,43,71,5.643384181508358,3
6.216368950668343,50,144,6.246150778633708,4
6.820983807267317,76,500,1.9216275429006358,3
9.223202251830864,68,112,9.070129871757283,7
1.2480446116674069,35,70,1.3820244046185037,2
3.3093571642988016,37,210,3.555658865814499,0
8.076255307576293,73,94,7.96146549720698,3
3.574800892457332,44,500,0.7603451857909629,0
3.731020396359443,48,72,3.8640165293235373,3
4.179285278932276,48,83,4.085016090659038,1
4.481087284308542,67,149,4.451697271615153,11
4.070898250559218,54,500,1.1388556954561564,53
4.434219609731712,38,500,0.0,0
4.176970666341224,59,138,4.296975412216765,2
9.478625983655734,66,500,5.685290802736038,21
7.417951797991207,67,500,1.607968305714892,90
6.459645981312875,56,209,6.434831778282516,23
1.7070502626133155,20,37,1.7504929831175366,0
7.702311157859643,45,69,7.6201581070659365,0
5.01375816803513,54,500,3.040431369379659,56
2.633852233286475,86,500,2.630433066309915,55
5.9191195436104636,61,500,2.252664864852924,100
6.054872174080184,55,107,5.9471276089206935,2
4.661988683135924,31,57,4.805886900729973,1
2.6466640870381317,55,500,1.9743706129437757,81
4.052322802965684,40,163,3.998763880203447,23
6.927913505132181,46,500,0.5000001901500675,0
5.429037035313348,50,500,0.9553358192882311,1
0.8984844826691608,31,500,0.239134030845727,153
9.078534869675657,72,214,9.230615390019636,13
10.71093999244102,94,500,7.621991059590518,330
4.273407029275162,39,49,4.232189929473083,0
4.409542960958013,78,387,4.431516139150583,28
7.390944686153902,48,309,7.4232629548219355,30
5.215861381079431,43,100,5.335000526151927,2
3.891881274482984,47,318,3.8183041457157474,25
4.221242089843329,46,147,4.139140647550456,8
6.871644152397919,56,500,5.543089984551349,91
3.9597807050632894,111,500,2.9467161784058193,11
6.233096519938696,62,500,4.504480337728558,144
3.6699581227039215,84,412,3.679719154073566,15
5.355535966632352,47,500,2.8480705204271004,102
5.275319599692903,39,73,5.1759531911977,4
10.231545802959985,76,197,10.044446547345585,12
11.680496901744,76,500,8.04873830364718,328
